Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
9510,OAK PARK,CHRISTOPHER,NW,SB, ,27047000,,"(37.7541646223, -122.459633428)"
9511,OAKDALE,INGALLS,NE,WB,0,20131000,,"(37.7303469151, -122.382901076)"
9512,OAKDALE,LANE,SW,EB,0,20209000,,"(37.7335389027, -122.388495202)"
9513,OAKDALE,QUINT,SW,EB,0,20692000,,"(37.7377889971, -122.395958034)"
9514,OAKWOOD,18TH ST,SE,NB,0,25680000,,"(37.7614960998, -122.42503807)"
9515,OCEAN,25TH AVE,NE,WB,0,23121000,,"(37.7324761114, -122.48100678)"
9516,OCEAN,CLEARFIELD,SW,EB, ,23307000,,"(37.7320151415, -122.491449652)"
9237,VICKSBURG,JERSEY,SE,NB,0,25646000,,"(37.7508339099, -122.428478901)"
9238,VICTORIA,RANDOLPH,SE,NB,0,22520000,,"(37.7142919123, -122.465312936)"
9239,VIDAL,HIGUERA,ES,SB,9N,23108000,,"(37.7183275398, -122.484794338)"
9240,HOLLISTER,HAWES,SW,EB, ,20436000,,"(37.7186925749, -122.390577358)"
9241,HOLLOWAY,ASHTON,NE,WB,0,22615000,,"(37.721699923, -122.462278112)"
9242,HOLLOWAY,CAPITOL,SW,EB,0,22590000,,"(37.7218424284, -122.45921743)"
9243,HOLLOWAY,HAROLD,SW,EB,0,22219000,,"(37.7218590215, -122.4531138)"
9244,HOLLOWAY,LEE,SW,EB, ,22220000,,"(37.7218563085, -122.454119767)"
9245,HOLYOKE,BACON,NW,SB,0,20890000,,"(37.7263464146, -122.408554845)"
9246,HOLYOKE,WAYLAND,NW,SB, ,20864000,,"(37.7251469865, -122.408055412)"
9247,HOUSTON,COLUMBUS,SW,EB,0,25526000,,"(37.8039414552, -122.415459085)"
9248,HUDSON,BERTHA,SW,EB,00,20087000,,"(37.732427118, -122.380197794)"
9249,HUDSON,MENDELL,SW,EB,0,20215000,,"(37.7389879946, -122.386412111)"
9250,HUGO,02ND AVE,NE,EB,0,27070000,,"(37.7653092608, -122.458893752)"
9251,HUGO,04TH AVE,SW,SB,0,27082000,,"(37.7652142772, -122.461036344)"
9252,HURON,FARRAGUT,NW,SB,0,21554000,,"(37.7111225021, -122.450787239)"
9253,HURON,SICKLES,NW,SB, ,21581000,,"(37.7091718087, -122.453262337)"
9254,MIDDLE DRIVE,MARTIN L KING,NE,WB,0,27254000,,"(37.7680175402, -122.467017652)"
9255,MIDDLEFIELD,OCEAN,SE,NB,0,23133000,,"(37.7322429214, -122.486287409)"
9256,MIGUEL,ARLINGTON,SW,EB,0,21855000,,"(37.7366898918, -122.42716872)"
9257,MILTON,BOSWORTH,SE,NB,0,21858000,,"(37.7333977635, -122.429435215)"
9258,MINNA,02ND ST,NS,WB,55W,24594000,,"(37.7875842245, -122.399268263)"
9259,MINNESOTA,22ND ST,SE,NB, ,23643000,,"(37.7578308055, -122.390223295)"
9260,MINT,MISSION,NW,SB,0,24886000,,"(37.7821956672, -122.407177597)"
9261,MIRAMAR,WILDWOOD,SE,NB,0,32969000,,"(37.727590208, -122.458218349)"
9262,MISSISSIPPI,19TH ST,NW,SB, ,23663000,,"(37.76142155, -122.394486891)"
9263,MISSISSIPPI,MARIPOSA,NW,SB,0,23674000,,"(37.7639689615, -122.394721852)"
9264,MISSOURI,18TH ST,SE,NB,0,23678000,,"(37.7625845941, -122.396540036)"
9265,MISSOURI,ARMY,NW,SB,0,23626000,,"(37.7498087301, -122.39532107)"
9266,MOFFITT,BEMIS,NW,SB,0,21932000,,"(37.7366228338, -122.431362133)"
9267,RIVERA,27TH AVE,SW,EB,0,23279000,,"(37.7464064304, -122.484536986)"
9268,RIVERA,32ND AVE,NE,WB,0,23392000,,"(37.7461698834, -122.48989198)"
9269,RIVERA,41ST AVE,SW,EB,0,23470000,,"(37.7457439387, -122.499538669)"
9270,RIVERTON,OCEAN,NW,SB,0,23139000,,"(37.7322040236, -122.487165505)"
9271,RIVOLI,SHRADER,SW,EB,0,26278000,,"(37.762346646, -122.450749986)"
9272,ROANOKE,LAIDLEY,NE,WB, ,21931000,,"(37.7360949318, -122.430804431)"
9273,ROLPH,ATHENS,NE,WB,0,21403000,,"(37.7128180697, -122.43501237)"
9274,ROLPH,MUNICH,SW,EB,0,21392000,,"(37.7121153225, -122.433444873)"
